RPS,approx_tps,sum_shard_tps,total_received,wall_seconds,errors
1000,4005.19,4009.08,200000,69,native-transfers_exit_2
3000,11746.85,11863.47,200000,31,native-transfers_exit_1
5000,14576.17,14818.55,200000,28,native-transfers_exit_2
7500,17275.94,17448.64,200000,28,native-transfers_exit_1
15000,21067.59,21392.93,200000,24,native-transfers_exit_1
25000,21261.34,21530.34,200000,24,native-transfers_exit_2
